date,product,sales,stock
2025-01-01,Beras Premium 5kg,45,200
2025-01-01,Minyak Goreng 2L,32,150
2025-01-01,Gula Pasir 1kg,28,300
2025-01-01,Tepung Terigu 1kg,15,180
2025-01-01,Susu UHT 1L,20,120
2025-01-02,Beras Premium 5kg,50,155
2025-01-02,Minyak Goreng 2L,38,112
2025-01-02,Gula Pasir 1kg,30,272
2025-01-02,Tepung Terigu 1kg,18,165
2025-01-02,Susu UHT 1L,22,98
2025-01-03,Beras Premium 5kg,42,113
2025-01-03,Minyak Goreng 2L,25,87
2025-01-03,Gula Pasir 1kg,35,237
2025-01-03,Tepung Terigu 1kg,12,153
2025-01-03,Susu UHT 1L,19,79
2025-01-04,Beras Premium 5kg,60,53
2025-01-04,Minyak Goreng 2L,40,47
2025-01-04,Gula Pasir 1kg,22,215
2025-01-04,Tepung Terigu 1kg,20,133
2025-01-04,Susu UHT 1L,25,54
2025-01-05,Beras Premium 5kg,55,200
2025-01-05,Minyak Goreng 2L,36,200
2025-01-05,Gula Pasir 1kg,40,175
2025-01-05,Tepung Terigu 1kg,14,119
2025-01-05,Susu UHT 1L,30,24
2025-01-06,Beras Premium 5kg,48,152
2025-01-06,Minyak Goreng 2L,29,171
2025-01-06,Gula Pasir 1kg,33,142
2025-01-06,Tepung Terigu 1kg,16,103
2025-01-06,Susu UHT 1L,21,200
2025-01-07,Beras Premium 5kg,52,100
2025-01-07,Minyak Goreng 2L,42,129
2025-01-07,Gula Pasir 1kg,27,115
2025-01-07,Tepung Terigu 1kg,22,81
2025-01-07,Susu UHT 1L,18,182
2025-01-08,Beras Premium 5kg,65,35
2025-01-08,Minyak Goreng 2L,33,96
2025-01-08,Gula Pasir 1kg,45,70
2025-01-08,Tepung Terigu 1kg,17,64
2025-01-08,Susu UHT 1L,28,154
2025-01-09,Beras Premium 5kg,40,200
2025-01-09,Minyak Goreng 2L,38,58
2025-01-09,Gula Pasir 1kg,31,39
2025-01-09,Tepung Terigu 1kg,13,51
2025-01-09,Susu UHT 1L,24,130
2025-01-10,Beras Premium 5kg,58,142
2025-01-10,Minyak Goreng 2L,45,13
2025-01-10,Gula Pasir 1kg,38,200
2025-01-10,Tepung Terigu 1kg,19,32
2025-01-10,Susu UHT 1L,32,98
2025-01-11,Beras Premium 5kg,44,98
2025-01-11,Minyak Goreng 2L,28,200
2025-01-11,Gula Pasir 1kg,29,171
2025-01-11,Tepung Terigu 1kg,23,9
2025-01-11,Susu UHT 1L,26,72
2025-01-12,Beras Premium 5kg,70,28
2025-01-12,Minyak Goreng 2L,34,166
2025-01-12,Gula Pasir 1kg,42,129
2025-01-12,Tepung Terigu 1kg,11,200
2025-01-12,Susu UHT 1L,35,37
2025-01-13,Beras Premium 5kg,53,200
2025-01-13,Minyak Goreng 2L,41,125
2025-01-13,Gula Pasir 1kg,36,93
2025-01-13,Tepung Terigu 1kg,18,182
2025-01-13,Susu UHT 1L,20,17
2025-01-14,Beras Premium 5kg,47,153
2025-01-14,Minyak Goreng 2L,37,88
2025-01-14,Gula Pasir 1kg,44,49
2025-01-14,Tepung Terigu 1kg,25,157
2025-01-14,Susu UHT 1L,29,200
